anonymous_id,original_timestamp,received_at,sent_at,timestamp,uuid_ts,context_campaign_medium,context_campaign_content,context_campaign_name,context_campaign_source,context_app_namespace,context_destination_id,context_destination_type,context_session_id,user_id,id,channel,event_text,event
e79e4db197cb463c5a615b9467536843,2024-11-23T03:37:28.000000Z,2024-11-23T03:37:28.000000Z,2024-11-23T03:37:28.000000Z,2024-11-23T03:37:28.000000Z,2024-11-23T03:37:28.000000Z,email,gsf4dsgs,cmpn_125,email,com.rudderstack.javascript,iFPYxdHAjhL63W,snowflake,1731621992,,u4YIhrBTPOMMAyYs,web,SIGNUP,signup
e79e4db197cb463c5a615b9467536843,2024-11-23T04:52:56.000000Z,2024-11-23T04:52:56.000000Z,2024-11-23T04:52:56.000000Z,2024-11-23T04:52:56.000000Z,2024-11-23T04:52:56.000000Z,email,gsf4dsgs,cmpn_125,email,com.rudderstack.javascript,iFPYxdHAjhL63W,snowflake,1731621992,nicholson.christopher994@example.org,Pq92qAOBhi3pxKq2,web,CART ADD,cart_add
e79e4db197cb463c5a615b9467536843,2024-11-23T09:27:47.000000Z,2024-11-23T09:27:47.000000Z,2024-11-23T09:27:47.000000Z,2024-11-23T09:27:47.000000Z,2024-11-23T09:27:47.000000Z,email,gsf4dsgs,cmpn_125,email,com.rudderstack.javascript,iFPYxdHAjhL63W,snowflake,1731621992,nicholson.christopher994@example.org,GghfAemjEO7E5hym,web,ORDER COMPLETED,order_completed
e79e4db197cb463c5a615b9467536843,2025-01-03T12:37:04.000000Z,2025-01-03T12:37:04.000000Z,2025-01-03T12:37:04.000000Z,2025-01-03T12:37:04.000000Z,2025-01-03T12:37:04.000000Z,ppc,cdasareravf,cmpn_830,bing,com.rudderstack.javascript,iFPYxdHAjhL63W,snowflake,1734678407,nicholson.christopher994@example.org,c7eVWsEdGTOaWH0H,web,SIGNUP,signup
e79e4db197cb463c5a615b9467536843,2025-01-03T16:27:32.000000Z,2025-01-03T16:27:32.000000Z,2025-01-03T16:27:32.000000Z,2025-01-03T16:27:32.000000Z,2025-01-03T16:27:32.000000Z,ppc,cdasareravf,cmpn_830,bing,com.rudderstack.javascript,iFPYxdHAjhL63W,snowflake,1734678407,nicholson.christopher994@example.org,Eohap70sK9UEwYCc,web,CART ADD,cart_add
e79e4db197cb463c5a615b9467536843,2025-01-03T20:57:13.000000Z,2025-01-03T20:57:13.000000Z,2025-01-03T20:57:13.000000Z,2025-01-03T20:57:13.000000Z,2025-01-03T20:57:13.000000Z,ppc,cdasareravf,cmpn_830,bing,com.rudderstack.javascript,iFPYxdHAjhL63W,snowflake,1734678407,nicholson.christopher994@example.org,cvAS1gVlQSQeV26X,web,ORDER COMPLETED,order_completed
be6cd93e2f8d8adbb86b7088677367cf,2024-11-21T15:40:11.000000Z,2024-11-21T15:40:11.000000Z,2024-11-21T15:40:11.000000Z,2024-11-21T15:40:11.000000Z,2024-11-21T15:40:11.000000Z,,,,,com.rudderstack.javascript,iFPYxdHAjhL63W,snowflake,1731142341,,VwCxoMoLdWxQ6oBg,web,CART ADD,cart_add
be6cd93e2f8d8adbb86b7088677367cf,2025-01-14T02:11:33.000000Z,2025-01-14T02:11:33.000000Z,2025-01-14T02:11:33.000000Z,2025-01-14T02:11:33.000000Z,2025-01-14T02:11:33.000000Z,,,,,com.rudderstack.javascript,iFPYxdHAjhL63W,snowflake,1736100551,,wkhXX4KiO2hUtnHQ,web,CART ADD,cart_add
be6cd93e2f8d8adbb86b7088677367cf,2025-02-09T09:13:46.000000Z,2025-02-09T09:13:46.000000Z,2025-02-09T09:13:46.000000Z,2025-02-09T09:13:46.000000Z,2025-02-09T09:13:46.000000Z,,,,,com.rudderstack.javascript,iFPYxdHAjhL63W,snowflake,1738547253,,T3Ko6m5bdwtPq7M4,web,CART ADD,cart_add
be6cd93e2f8d8adbb86b7088677367cf,2025-03-24T20:58:14.000000Z,2025-03-24T20:58:14.000000Z,2025-03-24T20:58:14.000000Z,2025-03-24T20:58:14.000000Z,2025-03-24T20:58:14.000000Z,ppc,cdasareravf,cmpn_830,bing,com.rudderstack.javascript,iFPYxdHAjhL63W,snowflake,1741088026,,tDOvztgCeu4SNFs7,web,CART ADD,cart_add
